Day2(午前),F1-1,雪だるま1,「……くそっ…でも、そうだよな！この失敗で次もっと良くなるっす！」
Day2(午前),F1-1,雪だるま2,「学べる部分…うん、気持ちが少し軽くなったよ。」
Day2(午前),F1-1,トナカイ,「再発防止策をまとめれば、次は改善できます。」
Day2(午前),F1-1,先輩サンタ,「失敗を前進に変える…良いリーダーの証だよ。」
,,,
Day2 (午後),F1-2,雪だるま1,「……あ、焦りすぎてたっす。ひとつずつやれば大丈夫っすね！」
Day2 (午後),F1-2,雪だるま2,「その声があると安心できる…ありがとう。」
Day2 (午後),F1-2,トナカイ,「段階的に進めればリスクは減らせます。冷静にいきましょう。」
Day2 (午後),F1-2,先輩サンタ,「落ち着かせる声がけは、チーム力を高めるよ。」
,,,
Day3(午前),F1-3,雪だるま1,「よし…乗り越えてやるっす！やる気出てきた！」
Day3(午前),F1-3,雪だるま2,「そんなふうに言ってくれると、前向きになれるね…！」
Day3(午前),F1-3,トナカイ,「鼓舞は良い効果です。士気が上がっています。」
Day3(午前),F1-3,先輩サンタ,「困難でこそ、リーダーの声は力になるんだ。」
,,,
Day3(午後),F1-4,雪だるま1,「リーダーが行くのか！？…すげぇ、ついていきます！」
Day3(午後),F1-4,雪だるま2,「無茶はしないでね。でも…頼もしいよ。」
Day3(午後),F1-4,トナカイ,「リーダーの率先行動…士気が大きく上がっています。」
Day3(午後),F1-4,先輩サンタ,「背中で示す…立派なリーダーだね。」
,,,
Day4(午前),F1-5,雪だるま1,「仲間を支える…かっけぇっす！頼りにしてます！」
Day4(午前),F1-5,雪だるま2,「そう言ってもらえると、安心して挑戦できるね…。」
Day4(午前),F1-5,トナカイ,「支援の姿勢はチームの安定に繋がります。」
Day4(午前),F1-5,先輩サンタ,「支えるリーダーは、強いチームを作るんだ。」
,,,
Day4(午後),F1-6,雪だるま1,「一緒に…！あ、はいっ！絶対見つけます！」
Day4(午後),F1-6,雪だるま2,「協力して問題解決するの、なんか嬉しい…。」
Day4(午後),F1-6,トナカイ,「データ分析を共有しましょう。原因は割り出せます。」
Day4(午後),F1-6,先輩サンタ,「協働姿勢は、信頼を育てる大事な要素だよ。」
,,,
Day5(午前),F1-7,雪だるま1,「……挑戦してる証拠…か。なんか勇気出てきたっす！」
Day5(午前),F1-7,雪だるま2,「そう言われると…失敗も前向きに捉えられるね。」
Day5(午前),F1-7,トナカイ,「挑戦を肯定する文化は、長期的成長に有効です。」
Day5(午前),F1-7,先輩サンタ,「その一言で、また前に進める仲間は多いはずだよ。」
